1611314813213357568,0.00355,0.00052,0.00447,0.70588,-0.70825,-0.00776,-0.00728,-0.01469,-0.00180,-0.00005,
1611314813279300096,0.00384,0.00049,0.00483,0.70590,-0.70825,-0.00717,-0.00661,-0.01098,-0.00248,-0.00014,
1611314813346004736,0.00555,0.00029,0.00377,0.70604,-0.70813,-0.00572,-0.00496,0.00594,-0.00384,-0.00138,
1611314813411636480,0.00427,0.00047,0.00389,0.70589,-0.70827,-0.00588,-0.00531,0.00136,-0.00248,-0.00237,
1611314813478208512,0.00409,0.00050,0.00415,0.70588,-0.70829,-0.00588,-0.00533,0.00051,-0.00207,-0.00129,
1611314813546665216,0.00641,0.00034,0.00368,0.70593,-0.70824,-0.00580,-0.00493,0.00527,-0.00228,-0.00341,
1611314813613473536,0.00518,0.00036,0.00384,0.70585,-0.70832,-0.00587,-0.00518,0.00148,-0.00194,-0.00308,
1611314813680006144,0.00479,0.00042,0.00398,0.70584,-0.70833,-0.00585,-0.00520,0.00046,-0.00182,-0.00215,
1611314813747235840,0.00671,0.00033,0.00339,0.70590,-0.70827,-0.00585,-0.00496,0.00344,-0.00193,-0.00424,
1611314813814074880,0.00598,0.00035,0.00336,0.70585,-0.70832,-0.00588,-0.00508,0.00176,-0.00131,-0.00451,
1611314813879430400,0.00522,0.00059,0.00342,0.70583,-0.70833,-0.00586,-0.00517,0.00056,-0.00086,-0.00423,
1611314813948114176,0.00668,0.00066,0.00318,0.70586,-0.70831,-0.00585,-0.00497,0.00325,-0.00115,-0.00494,
1611314814013949440,0.00623,0.00064,0.00309,0.70583,-0.70834,-0.00589,-0.00508,0.00182,-0.00141,-0.00541,
1611314814080637184,0.00538,0.00071,0.00315,0.70582,-0.70835,-0.00586,-0.00515,0.00023,-0.00114,-0.00506,
1611314814147395328,0.00680,0.00059,0.00328,0.70583,-0.70834,-0.00586,-0.00496,0.00209,-0.00175,-0.00488,
1611314814213405696,0.00668,0.00050,0.00313,0.70582,-0.70835,-0.00589,-0.00502,0.00194,-0.00230,-0.00551,
1611314814280090112,0.00576,0.00052,0.00328,0.70581,-0.70836,-0.00587,-0.00512,0.00042,-0.00159,-0.00502,
1611314814347248128,0.00692,0.00044,0.00341,0.70582,-0.70835,-0.00587,-0.00495,0.00237,-0.00150,-0.00447,
1611314814413957888,0.00684,0.00036,0.00327,0.70581,-0.70836,-0.00589,-0.00499,0.00226,-0.00229,-0.00489,
1611314814481184256,0.00591,0.00041,0.00334,0.70580,-0.70837,-0.00587,-0.00511,0.00072,-0.00187,-0.00431,
1611314814546697216,0.00717,0.00032,0.00355,0.70581,-0.70836,-0.00589,-0.00494,0.00293,-0.00171,-0.00468,
1611314814613708032,0.00730,0.00027,0.00349,0.70579,-0.70838,-0.00592,-0.00498,0.00229,-0.00139,-0.00465,
