1609652075355232256,0.08313,0.07639,-0.00427,0.99241,-0.01313,-0.00035,0.12225,
1609652075421534720,0.08535,0.08134,-0.00289,0.99121,-0.01500,0.00066,0.13146,
1609652075488145920,0.09011,0.08758,-0.00322,0.98982,-0.01567,0.00140,0.14144,
1609652075554983936,0.09378,0.09472,-0.00291,0.98835,-0.01492,0.00148,0.15148,
1609652075621566464,0.09757,0.10241,-0.00298,0.98675,-0.01336,0.00157,0.16166,
1609652075688190976,0.10155,0.10979,-0.00258,0.98496,-0.01321,0.00153,0.17227,
1609652075755511040,0.10623,0.11851,-0.00304,0.98312,-0.01354,0.00165,0.18248,
1609652075821675776,0.11192,0.12657,-0.00466,0.98117,-0.01504,0.00309,0.19252,
1609652075888366848,0.11806,0.13541,-0.00666,0.97914,-0.01474,0.00550,0.20259,
1609652075955035904,0.12335,0.14448,-0.00871,0.97689,-0.01401,0.00750,0.21313,
1609652076021770240,0.12689,0.15187,-0.00938,0.97461,-0.01041,0.00974,0.22344,
1609652076088480512,0.13003,0.15858,-0.00969,0.97253,-0.00751,0.01166,0.23235,
1609652076221684736,0.13472,0.16976,-0.00981,0.96924,-0.00270,0.01296,0.24577,
1609652076755186432,0.12761,0.15791,-0.00638,0.97267,0.00340,0.01592,0.23163,
1609652076821870848,0.12314,0.14912,-0.00576,0.97507,0.00406,0.01663,0.22124,
1609652076888608768,0.11874,0.14020,-0.00437,0.97760,0.00423,0.01665,0.20979,
1609652076955300608,0.11314,0.13079,-0.00253,0.98007,0.00468,0.01707,0.19788,
1609652077021937664,0.10691,0.12137,-0.00028,0.98237,0.00486,0.01682,0.18612,
1609652077088560640,0.10011,0.11163,0.00136,0.98466,0.00509,0.01702,0.17358,
1609652077155138304,0.09381,0.10163,0.00302,0.98682,0.00472,0.01733,0.16084,
1609652077221772288,0.08721,0.09137,0.00441,0.98887,0.00403,0.01741,0.14772,
1609652077288567040,0.08129,0.08175,0.00521,0.99074,0.00383,0.01751,0.13457,
1609652077355262976,0.07418,0.07216,0.00661,0.99252,0.00366,0.01813,0.12064,
1609652077421869568,0.06813,0.06297,0.00667,0.99420,0.00351,0.01851,0.10592,
1609652077488590592,0.06020,0.05300,0.00600,0.99566,0.00318,0.01920,0.09106,
1609652077555335424,0.05533,0.04517,0.00707,0.99690,0.00299,0.01955,0.07615,
1609652077622183936,0.04768,0.03648,0.00938,0.99800,0.00253,0.02026,0.05985,
1609652077688774912,0.04150,0.02913,0.00753,0.99884,0.00185,0.02045,0.04349,
1609652077755312640,0.03338,0.02211,0.00756,0.99942,0.00144,0.02004,0.02740,
